Sample ID,Run UID,Overall Result,Expected Result,Result review comments,Notes
13.GF.129.S4,06899992-50,Positive,Positive,,Soos Creek Hatchery
13.MW.232.S3,06899992-51,Positive,Positive,,Soos Creek Hatchery
13.GF.WLF.S4,06899992-52,Invalid,Positive,,Soos Creek Hatchery
13.EN.193.S7,06899992-53,Negative,Negative,,Soos Creek Hatchery - In Lab
13.EN.200.S7,06899992-54,Negative,Negative,,Soos Creek Hatchery - In Lab
13.EN.209.S11,06899992-56,Positive,Positive,,Soos Creek Hatchery - In Lab
13.EN.218.S10,06899992-57,Positive,Positive,,Soos Creek Hatchery - In Lab
13.EN.225.S10,06899992-58,Invalid,Positive,,Soos Creek Hatchery - In Lab
13.EN.239.S9,06899992-59,Positive,Positive,,Soos Creek Hatchery - In Lab
13.EN.253.S3,06899992-60,Positive,Positive,,Soos Creek Hatchery - In Lab
13.EN.252.S3,06899992-61,Positive,Positive,,Soos Creek Hatchery - In Lab
FCFD2,06900002-41,Invalid,Negative,,Fremont Cut
FCFD4,06900002-42,Invalid,Negative,,Fremont Cut
FCFD6,06900002-43,Negative,Negative,,Fremont Cut
FCFD8,06900002-44,Negative,Negative,,Fremont Cut
FCFD9,06900002-45,Negative,Negative,,Fremont Cut
FCFD2_R,06900002-46,Negative,Negative,,Fremont Cut
06.EN.23.S2,06900002-50,Invalid,Positive,,Issaquah Creek Hatchery
06.EN.25.S2,06900002-51,Invalid,Positive,,Issaquah Creek Hatchery
06.DD.17.NTC,06900002-58,Positive,Negative,,Soos Creek Hatchery
06.MB.31.S5,06900002-59,Positive,Positive,,Soos Creek Hatchery
06.DD.108.S2,06900002-60,Negative,Positive,,Soos Creek Hatchery
06.MB.88.S1,06900002-61,Positive,Positive,,Soos Creek Hatchery - In Lab
06.MB.103.S2,06900002-62,Positive,Positive,,Soos Creek Hatchery - In Lab
06.MB.38.S3,06900002-64,Invalid,Positive,,Soos Creek Hatchery - In Lab - DevMode
06.MB.53.S8,06900002-65,Positive,Positive,,Soos Creek Hatchery - In Lab
06.GF7.188.S1,06900002-66,Invalid,Negative,,Carr Creek
06.GF.196.S1,06900002-67,Negative,Negative,,Carr Creek
06.GF.199.S1,06900002-68,Negative,Negative,,Carr Creek
06.EN.206.S1.GL,06900002-69,Negative,Negative,,Green Lake
06.EN.214.S1.GL,06900002-70,Positive,Negative,,Green Lake
06.EN.222.S1.GL,06900002-71,Negative,Negative,,Green Lake
06.GF.146.NTC,06900002-72,Negative,Negative,,Kendall Creek Hatchery
06.GF.109.S4,06900002-73,Positive,Positive,,Kendall Creek Hatchery
06.GF.116.S7,06900002-74,Positive,Positive,,Kendall Creek Hatchery
06.EN.120.S7,06900002-75,Positive,Positive,,Kendall Creek Hatchery
06.EN.160.S4,06900002-76,Negative,Positive,,Kendall Creek Hatchery
06.EN.169.S5,06900002-77,Positive,Positive,,Kendall Creek Hatchery
06.EN.178.S6,06900002-78,Positive,Positive,,Kendall Creek Hatchery
06.EN.127.NTC,06900002-79,Positive,Negative,,Soos Creek Hatchery
06.GF.246.S3,06900002-80,Positive,Positive,,Soos Creek Hatchery
06.DF.206.S11,06900002-81,Positive,Positive,,Soos Creek Hatchery
06.EN.190.S7,06900002-82,Negative,Negative,,Soos Creek Hatchery - In Lab
06.EN.197.S7,06900002-83,Negative,Negative,,Soos Creek Hatchery - In Lab
06.EN.204.S9,06900002-84,Positive,Positive,,Soos Creek Hatchery - In Lab
06.EN.215.S10,06900002-85,Positive,Positive,,Soos Creek Hatchery - In Lab
06.EN.222.S10,06900002-87,Positive,Positive,,Soos Creek Hatchery - In Lab
06.EN.236.S9,06900002-88,Positive,Positive,,Soos Creek Hatchery - In Lab
06.EN.243.S9,06900002-90,Positive,Positive,,Soos Creek Hatchery - In Lab
06.EN.145.S11,06900002-91,Positive,Positive,,Soos Creek Hatchery - In Lab
6.MB.46.S1,06900002-92,Positive,Negative,,Issaquah Creek Hatchery
06.MB.57.S1,06900002-94,Negative,Negative,,Issaquah Creek Hatchery
DI_5,06900179-43,Positive,Negative,,Fremont Cut
16.GF.04,06900179-44,Positive,Negative,,Fremont Cut
16.DD.20.S3,06900179-45,Negative,Positive,,Issaquah Creek Hatchery
16.BA.03.S3,06900179-46,Invalid,Positive,,Issaquah Creek Hatchery
16.EA.16.S4,06900179-48,Positive,Positive,,Issaquah Creek Hatchery
16.EN.81.NTC,06900179-49,Invalid,Negative,,Soos Creek Hatchery
16.EN.86.S4,06900179-51,Positive,Positive,,Soos Creek Hatchery
16.EN.36.S3,06900179-52,Positive,Positive,,Soos Creek Hatchery
16.MB.52.S6,06900179-53,Negative,Positive,,Soos Creek Hatchery - In Lab
16.MB.107.S2,06900179-54,Positive,Positive,,Soos Creek Hatchery - In Lab
16.MB.87.S4,06900179-55,Positive,Positive,,Soos Creek Hatchery - In Lab
16.MB.49.S7,06900179-57,Invalid,Negative,,Soos Creek Hatchery - In Lab
16.GF.187.S1,06900179-58,Invalid,Negative,,Carr Creek
16.GF.195.S1,06900179-59,Invalid,Negative,,Carr Creek
16.GF.198.S1,06900179-60,Negative,Negative,,Carr Creek
16.EN.208.S1.GL,06900179-61,Negative,Negative,,Green Lake
16.EN.216.S1.GL,06900179-62,Positive,Negative,,Green Lake
16.EN.224.S1.GL,06900179-63,Negative,Negative,,Green Lake
16.CF.147.S3,06900179-64,Invalid,Positive,,Kendall Creek Hatchery
16.CF.125.S7,06900179-65,Positive,Positive,,Kendall Creek Hatchery
16.EN.121.S7,06900179-67,Positive,Positive,,Kendall Creek Hatchery
16.EN.157.S3,06900179-69,Positive,Positive,,Kendall Creek Hatchery
16.EN.170.S5,06900179-70,Positive,Positive,,Kendall Creek Hatchery
16.EN.179.S6,06900179-72,Positive,Positive,,Kendall Creek Hatchery
